model,config,seed,cv_accuracy,test_accuracy,balanced_accuracy,macro_f1,roc_auc_ovr,ece,recall_normal,recall_suspect,recall_pathological
SVM,C — +L1+L4,1,0.9373134990415538,0.9415911379657603,0.9427731840957666,0.9422341145904896,0.9859552404826761,0.014140286003302848,0.8956521739130435,0.9548192771084337,0.9778481012658228
SVM,D — Full naive,1,0.9417925478348439,0.9415911379657603,0.9427731840957666,0.9422341145904896,0.9859552404826761,0.014140286003302848,0.8956521739130435,0.9548192771084337,0.9778481012658228
SVM,A — Correct,2,0.8858823529411766,0.8615023474178404,0.8253760805935606,0.7812185034996887,0.9431686090691094,0.0656665031790314,0.8795180722891566,0.7966101694915254,0.8
SVM,B — +L4,2,0.8841176470588235,0.8615023474178404,0.8253760805935606,0.7812185034996887,0.9430575255776161,0.06554199884339591,0.8795180722891566,0.7966101694915254,0.8
SVM,C — +L1+L4,2,0.9330310663308146,0.9395770392749244,0.9396888099070085,0.9394993679676246,0.9860413047604447,0.011864383680030737,0.8972809667673716,0.9655172413793104,0.956268221574344
SVM,D — Full naive,2,0.9361530715005035,0.9395770392749244,0.9396888099070085,0.9394993679676246,0.9860413047604447,0.011864383680030737,0.8972809667673716,0.9655172413793104,0.956268221574344
SVM,A — Correct,3,0.8811764705882353,0.8896713615023474,0.8606527806139814,0.8232626383886888,0.9646870180804181,0.04538807081146783,0.9006024096385542,0.8813559322033898,0.8
SVM,B — +L4,3,0.8805882352941177,0.8873239436619719,0.8596487645497243,0.8211130109021342,0.9612014447121071,0.04751072094881437,0.8975903614457831,0.8813559322033898,0.8
SVM,C — +L1+L4,3,0.9352904646483848,0.9496475327291037,0.9497645747522777,0.9501813213624651,0.984526899068896,0.010163734556528777,0.9151515151515152,0.9590643274853801,0.9750778816199377
SVM,D — Full naive,3,0.9413897280966766,0.9496475327291037,0.9497645747522777,0.9501813213624651,0.984526899068896,0.010163734556528777,0.9151515151515152,0.9590643274853801,0.9750778816199377
SVM,A — Correct,4,0.8800000000000001,0.8943661971830986,0.9091338720499431,0.8409744968971399,0.9678681997802491,0.053694621716086584,0.891566265060241,0.864406779661017,0.9714285714285714
